Frame,Emotion,Emotion_Confidence,Pose_Roll,Pose_Yaw,Pose_Pitch,Eye_Yaw,Eye_Pitch
128,CALM,87.94677734375,-6.676376819610596,1.4210186004638672,3.1044204235076904,0.5285056233406067,-10.203054428100586
129,CALM,86.54296875,-7.1152873039245605,1.483890414237976,3.0377135276794434,0.5042046308517456,-9.938804626464844
130,CALM,87.3974609375,-7.204326629638672,1.779469609260559,2.748976707458496,0.820263683795929,-10.370370864868164
131,CALM,47.32421875,-6.985349655151367,1.784925937652588,2.746400833129883,1.2643431425094604,-10.707109451293945
132,SURPRISED,79.7432632446289,-7.17436408996582,1.8571605682373047,2.9373841285705566,1.6954602003097534,-10.845928192138672
133,SURPRISED,96.2308120727539,-6.70872688293457,1.807984471321106,2.6014137268066406,1.1406023502349854,-11.330263137817383
134,SURPRISED,98.49232482910156,-6.352789402008057,2.009673833847046,2.827263116836548,1.0513333082199097,-11.38841724395752
135,SURPRISED,98.93777465820312,-6.318953037261963,1.8828409910202026,3.5087361335754395,1.0546852350234985,-10.631097793579102
136,SURPRISED,99.22903442382812,-5.6990580558776855,2.3364827632904053,3.7218732833862305,1.5184457302093506,-10.291178703308105
137,SURPRISED,98.08113861083984,-5.9966840744018555,2.0539605617523193,4.487826824188232,1.089859127998352,-10.010357856750488
138,SURPRISED,96.96752166748047,-5.853922367095947,1.9047950506210327,4.4858717918396,0.8775569200515747,-9.95352840423584
139,SURPRISED,93.19832611083984,-5.704527854919434,2.093559980392456,4.524144172668457,1.3254103660583496,-10.739889144897461
140,SURPRISED,95.93955993652344,-5.637979984283447,2.1999690532684326,3.9082868099212646,1.2224960327148438,-10.998499870300293
141,SURPRISED,98.83497619628906,-5.148306846618652,2.444291830062866,3.473907232284546,1.222677230834961,-11.083183288574219
142,SURPRISED,99.6573486328125,-5.4179511070251465,1.8413180112838745,3.630525827407837,1.3341599702835083,-10.958641052246094
143,SURPRISED,90.67982482910156,-5.124008655548096,2.2677173614501953,2.8762848377227783,1.7109616994857788,-11.430395126342773
144,CALM,99.0234375,-5.084513187408447,2.2547476291656494,2.920593738555908,1.944427728652954,-12.811605453491211
145,CALM,99.72098541259766,-5.009061336517334,2.4448935985565186,2.872631549835205,2.1347451210021973,-12.604299545288086
146,CALM,97.00055694580078,-4.437080383300781,2.4549927711486816,2.9258475303649902,2.0662617683410645,-11.937699317932129
147,CALM,95.67522430419922,-4.249297142028809,2.704361915588379,3.51769757270813,1.9052388668060303,-11.646899223327637
148,CALM,94.62890625,-4.173426151275635,2.9083991050720215,3.921191453933716,1.4656424522399902,-11.123214721679688
149,CALM,91.48995208740234,-4.042766094207764,3.2335128784179688,3.8651223182678223,1.7181116342544556,-10.965229988098145
